Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14006_001,SE_A10030_001,SE_A10030_002,SE_A10030_003,SE_A10030_004,SE_A10030_005,SE_A10030_006,SE_A10030_007
"060750178012","Block Group 2, Census Tract 178.01, San Francisco County, California","ca","150","00",,,,"06","075",,,"017801","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750178012","Block Group 2",,,,152054,728,282,325,121,0,0,0
"060750178013","Block Group 3, Census Tract 178.01, San Francisco County, California","ca","150","00",,,,"06","075",,,"017801","3",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750178013","Block Group 3",,,,97083,831,511,302,18,0,0,0
"060750178031","Block Group 1, Census Tract 178.03, San Francisco County, California","ca","150","00",,,,"06","075",,,"017803","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750178031","Block Group 1",,,,64526,623,447,99,77,0,0,0
"060750178032","Block Group 2, Census Tract 178.03, San Francisco County, California","ca","150","00",,,,"06","075",,,"017803","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750178032","Block Group 2",,,,250001,551,168,364,19,0,0,0
"060750178041","Block Group 1, Census Tract 178.04, San Francisco County, California","ca","150","00",,,,"06","075",,,"017804","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750178041","Block Group 1",,,,152721,667,371,225,71,0,0,0
"060750178042","Block Group 2, Census Tract 178.04, San Francisco County, California","ca","150","00",,,,"06","075",,,"017804","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750178042","Block Group 2",,,,84254,637,247,375,15,0,0,0
"060750178043","Block Group 3, Census Tract 178.04, San Francisco County, California","ca","150","00",,,,"06","075",,,"017804","3",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750178043","Block Group 3",,,,138603,406,83,309,14,0,0,0
"060750178044","Block Group 4, Census Tract 178.04, San Francisco County, California","ca","150","00",,,,"06","075",,,"017804","4",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750178044","Block Group 4",,,,143993,422,222,177,23,0,0,0
"060750179031","Block Group 1, Census Tract 179.03, San Francisco County, California","ca","150","00",,,,"06","075",,,"017903","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750179031","Block Group 1",,,,91750,617,91,213,160,146,7,0
"060750179032","Block Group 2, Census Tract 179.03, San Francisco County, California","ca","150","00",,,,"06","075",,,"017903","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750179032","Block Group 2",,,,,0,0,0,0,0,0,0
